"Name","Source","Page","Rarity","Type","Attunement","Damage","Properties","Mastery","Weight","Value","Text"
"Clothing, cold weather","IDRotF","20","none","adventuring gear","","","","","5 lb.","10 gp","This outfit consists of a heavy fur coat or cloak over layers of wool clothing, as well as a fur-lined hat or hood, goggles, and fur-lined leather boots and gloves.As long as cold weather clothing remains dry, its wearer automatically succeeds on saving throws against the effects of extreme cold."
"Common Clothes","PHB'14","150","none","adventuring gear","","","","","3 lb.","5 sp",""
"Component Pouch","PHB'24","225","none","adventuring gear","","","","","2 lb.","25 gp","A Component Pouch is watertight and filled with compartments that hold all the free Material components of your spells."
"Costume","PHB'24","225","none","adventuring gear","","","","","4 lb.","5 gp","While wearing a Costume, you have Advantage on any ability check you make to impersonate the person or type of person it represents."
"Crampons","IDRotF","20","none","adventuring gear","","","","","¼ lb.","2 gp","A crampon is a metal plate with spikes that is strapped to the sole of a boot. A creature wearing crampons can't fall prone while moving across slippery ice."
"Crossbow Bolt Case","PHB'24","224","none","adventuring gear","","","","","1 lb.","1 gp","A Crossbow Bolt Case holds up to 20 Bolts."
"Crowbar","PHB'24","225","none","adventuring gear","","","","","5 lb.","2 gp","Using a Crowbar gives you Advantage on Strength checks where the Crowbar's leverage can be applied."
"Diplomat's Pack","PHB'24","225","none","adventuring gear","","","","","39 lb.","39 gp","A Diplomat's Pack contains the following items: Chest, Fine Clothes, Ink, 5 Ink Pens, Lamp, 2 Map or Scroll Cases, 4 flasks of Oil, 5 sheets of Paper, 5 sheets of Parchment, Perfume, and Tinderbox."
"Dungeoneer's Pack","PHB'24","225","none","adventuring gear","","","","","55 lb.","12 gp","A Dungeoneer's Pack contains the following items: Backpack, Caltrops, Crowbar, 2 flasks of Oil, 10 days of Rations, Rope, Tinderbox, 10 Torches, and Waterskin."
"Elven Trinket","MTF","64","none","adventuring gear","","","","","","","d8Trinket1A small notebook that causes anything written in it to disappear after 1 hour2A crystal lens made of ivory and gold that causes anything observed through it to appear to be surrounded by motes of multicolored light3A small golden pyramid inscribed with elven symbols and about the size of a walnut4A cloak pin made from enamel in the shape of a butterfly; when you take the pin off, it turns into a real butterfly, and returns when you are ready to put your cloak back on again5A golden compass that points toward the nearest portal to the Feywild within 10 miles6A small silver spinning top that, when spun, endlessly spins until interrupted7A small songbird made of enamel, gold wire, and precious stone; uttering the songbird's name in Elvish causes the trinket to emit that bird's birdsong8A small enamel flower that, when put in one's hair, animates, tying back the wearer's hair with a living vine with flowers; plucking a single flower from this vine returns it to its inanimate form"
"Entertainer's Pack","PHB'24","225","none","adventuring gear","","","","","58½ lb.","40 gp","An Entertainer's Pack contains the following items: Backpack, Bedroll, Bell, Bullseye Lantern, 3 Costumes, Mirror, 8 flasks of Oil, 9 days of Rations, Tinderbox, and Waterskin."
"Essence of Ether","DMG'24","90","none","adventuring gear, poison (inhaled)","","","","","","300 gp","A creature subjected to Essence of Ether must succeed on a DC 15 Constitution saving throw or have the Poisoned condition for 8 hours. The creature also has the Unconscious condition while Poisoned in this way. The creature wakes up if it takes damage or if another creature takes an action to shake it awake."
"Explorer's Pack","PHB'24","225","none","adventuring gear","","","","","55 lb.","10 gp","An Explorer's Pack contains the following items: Backpack, Bedroll, 2 flasks of Oil, 10 days of Rations, Rope, Tinderbox, 10 Torches, and Waterskin."
"Fargab","DSotDQ","188","none","adventuring gear","","","","","","","These backpack-sized devices are created in pairs, with matching numbers engraved on them, and allow communication over a long distance using radio frequencies. While wearing a fargab, you can use an action to speak into the device's mouthpiece and send a short message of twenty-five words or less to another creature wearing the matched fargab while it is within 18 miles of you. The message emits from the speakers of the device and can be heard up to 10 feet away from the device. If no creature is wearing the fargab, the speakers make static noises instead."
"Feywild Trinket","WBtW","7","none","adventuring gear","","","","","","","The Feywild Trinkets table that follows offers a selection of trinkets appropriate for Feywild-themed adventures such as this one. Players whose characters have the feylost or Witchlight hand background can roll on this table instead of the Trinkets table in the Player's Handbook to determine what trinkets their characters possess. The adventure includes a few encounters that require you to roll on the table to determine what random trinkets the characters find in key locations.Feywild Trinketsd100Trinket01Cookie cutter shaped like a unicorn02Two yew rings linked together03Silver hand mirror with a nymph-shaped handle04Painted wooden key whose teeth change configuration every day at dawn05Delicate silver cameo with pictures of twin children opposite one another06Golden pendant charm shaped like a leprechaun07Tiny wooden box containing a croquet set sized for pixies or sprites08Tiny pair of sharp, iron scissors09Chess piece shaped like a dancing satyr wearing a bishop's hat and clutching a gnarled staff10Saltshaker shaped like a wizard's tower11Crystal orb that allows an elf who holds it to sleep12Pendant that shows the phases of the moon13Large iron fingernail14Tiny electrum whistle that only Fey can hear15Wooden jigsaw puzzle piece as big as a saucer, with a painted image of a jug on it16Spool of glistening silver thread17Sheet of music that goblins find upsetting when they hear it played or sung18Rotten ogre's tooth with the Elvish glyph for ""moon"" etched into it19Vitrified eye of a displacer beast20Tiny duskwood coffin containing the ashes of a troll21Old invitation to a banquet in the Summer Court, written in ink on vellum in Sylvan22Gossamer shawl that glows faintly in moonlight23Ball-and-cup toy that plays a short, victorious jingle whenever the ball lands in the cup24Sprite's skull covered in ink fingerprints25Silver fork with the outer tines bent sideways26A soot-stained sock in which a nugget of coal magically appears each day at dawn27Tiny wooden stool (sized for a pixie or sprite) that gives splinters to those who hold it28Tiny clockwork dragonfly that slowly beats its wings (but can't fly) when wound up29Toy unicorn made of wood, painted with bright colors30Pixie plushie that sings when you squeeze it311-inch-square painting of a sleeping elf32Thimble that helps you daydream when worn33Pumpkin cupcake that magically regenerates itself in its paper cup each day at dawn34Fake Three-Dragon Ante card depicting a faerie dragon35Teacup made from a varnished mushroom cap that magically keeps its liquid contents lukewarm36Rock that floats and is small enough to hide in your closed fist37Tiny bottle filled with rainwater collected from the Feywild38Opalescent conch shell that laughs when you hold it to your ear39Vial of viscous liquid labeled ""Fomorian spit. Do not drink!""40Wax candle that roars and crackles like a bonfire while lit41Potted daffodil that sways when near a source of music428-ounce, glass wine bottle that magically reassembles itself 1 minute after being broken43Tiny wooden sylph figurehead from a model ship44Tiny pumpkin-shaped cauldron carved out of bog oak45Bar of soap that smells like something memorable from your childhood46Piece of orange parchment folded to look like a knight astride a unicorn47Tinted glasses so dark that they can't be seen through488-inch-long glass ant figurine49Piece of parchment bearing a child's drawing of an oni50Tiny hourglass without sand in it51Empty vial with corked ends at the top and bottom52Pair of green leprechaun boots tied together by their laces53Smoking pipe made from a tree root54Red cap that droops down to one's shoulders when worn55Mask that helps you remember your dreams if you wear it while you sleep56Notebook that shows what's written on it only when held upside down57Wooden top with four sides, each bearing the image of child enjoying a different season58Tiny beehive wig made for sprites or pixies59Wooden mouse figurine that squeaks when held60Stuffed oni doll with a creepy smile and one missing eye61Empty bag labeled ""Candy""62Tinted glass monocle that makes things look green63Black executioner's hood sized for a pixie or sprite64Piano key carved from a satyr's horn65Tiny wooden lute with cat hairs for strings66Iron needle with an eye that refuses to let thread pass through it67Tiny sundial that casts a shadow only in moonlight68Wooden pan flute that attracts harmless local fauna when played69Silvered pinecone70Flask of spectral glowworms that change color to reflect the mood of the flask's holder71Wooden apple painted blue72Tuning fork that sounds the tone for the F key73Nunchaku sized for a pixie or sprite74Copper coin with a smiling satyr's face on one side and a satyr's skull on the other75Severed chicken's foot attached to a leather cord76Collection of baby teeth in a tiny wooden box77Pinwheel whirligig that spins even when there's no wind78Child's parasol covered in moss and leaves79Wooden magnifying glass missing its lens80Glossy mushroom with a red, bell-shaped cap that jingles when shook81Pouch of seeds that smell like home82Petrified robin's egg83Wooden spoon with a hole in the center84Paper wasp nest in a jar85Sprig of rosemary wrapped with ribbon at one end86Tiny, unfurnished dollhouse sized for a pixie child87Paintbrush made entirely of ceramic—even the bristles88Candlestick whose candlelight looks like a tiny, dancing fairy made of fire89Spectacle frames in the shape of butterfly wings90Set of false wooden teeth91Tiny book of fairytales92Rucksack in which one potato magically appears each day at dawn93Pixie's winter jacket lined with fox fur94Tasseled wine charm shaped like a sprite95Weak magnetic wand96100-sided die the size of a plum, cut from coal97Glass slipper, missing its mate98Tiny dreamcatcher99Barbell sized for a pixie or sprite100Music box that plays a sprightly tune you remember from your childhood"
"Fine Clothes","PHB'24","225","none","adventuring gear","","","","","6 lb.","15 gp","Fine Clothes are made of expensive fabrics and adorned with expertly crafted details. Some events and locations admit only people wearing these clothes."
"Fishing Tackle","PHB'14","151","none","adventuring gear","","","","","4 lb.","1 gp","This kit includes a wooden rod, silken line, corkwood bobbers, steel hooks, lead sinkers, velvet lures, and narrow netting."
"Flask","PHB'24","225","none","adventuring gear","","","","","1 lb.","2 cp","A Flask holds up to 1 pint."
"Frostfell and Everice Trinket","ERLW","136","none","adventuring gear","","","","","","","Trinkets from the Frostfell and Evericed8Trinket1A small prism carved from ice that doesn't melt2A rusted iron coin, depicting a dwarf lord and the worlds ""Five Rex Undra""3A pair of eight-sided dice carved from ice that doesn't melt4A swatch of silvery fur that's cold to the touch, possibly from a winter wolf5A snowball; it doesn't melt and can't be compressed into ice6A tiny white dragon sculpted from ice that doesn't melt7A key carved from ice that doesn't melt8A single scale from a white dragon"
"Gate Warden Trinket","SatO","7","none","adventuring gear","","","","","","","d6Trinket1A tiny vial pendant filled with a drop of honey that glows faintly2A small lead ingot that has a strange thumbprint pressed into it and whispers when held tightly3Two lodestone spheres that chime when they attract each other4A smoldering pebble of coal that, while always hot, doesn't burn skin, fur, scales, or clothing5A feather that sheds dim light in a 5-foot radius6A ring made from a chain link that, once donned, won't come off without pulling painfully hard"
"Giant Trinket","BGG","16","none","adventuring gear","","","","","","","While exploring your home, you discovered some trivial remnant of the ancient inhabitants, as determined by rolling on the Giant Trinkets table. The items in parentheses are the normal-sized objects most analogous to the described giant trinkets.Giant Trinketsd6Giant Trinket1A giant's toothpick (a dagger)2A giant's handkerchief (a blanket)3A giant's marble (a crystal orb)4A giant's match (a torch)5A giant's letter opener (a longsword)6A giant's thimble (an iron pot)"
"Glass Bottle","PHB'24","224","none","adventuring gear","","","","","2 lb.","2 gp","A Glass Bottle holds up to 1½ pints."
"Goose Egg Trinket","BGG","150","none","adventuring gear","","","","","","","Sometimes, an egg laid by a giant goose inexplicably contains some kind of small trinket or minor magic item. Once it lays a golden egg, a giant goose can't do so again for a year and a day.You can use the Goose Egg Trinket table to determine the contents of a golden egg. A giant goose's egg can be a great way to give characters an item that's important to the story of an adventure or your campaign.Goose Egg Trinketd12Egg Contents1The egg is empty, but the inside of the shell is inscribed with a poem or an intricate illustration.2The gold shell encloses a candy egg.3The egg holds a small toy goose that makes a loud honking noise when squeezed.4The egg contains a potion of giant strength (hill giant) with no container.5The egg holds a pearl of power.6The egg contains a brooch of shielding.7The egg contains a figurine of wondrous power (silver raven) that activates automatically as the egg is opened, releasing what appears to be a living bird.8-12The egg is empty."
"Grappling Hook","PHB'24","225","none","adventuring gear","","","","","4 lb.","2 gp","As a Utilize action, you can throw the Grappling Hook at a railing, a ledge, or another catch within 50 feet of yourself, and the hook catches on if you succeed on a DC 13 Dexterity (Acrobatics) check. If you tied a Rope to the hook, you can then climb it."
"Hammer","PHB'14","150","none","adventuring gear","","","","","3 lb.","1 gp",""
"Healer's Kit","PHB'24","225","none","adventuring gear","","","","","3 lb.","5 gp","A Healer's Kit has ten uses. As a Utilize action, you can expend one of its uses to stabilize an Unconscious creature that has 0 Hit Points without needing to make a Wisdom (Medicine) check."
"Holy Water","PHB'24","226","none","adventuring gear","","","","","1 lb.","25 gp","When you take the Attack action, you can replace one of your attacks with throwing a flask of Holy Water. Target one creature you can see within 20 feet of yourself. The target must succeed on a Dexterity saving throw (DC 8 plus your Dexterity modifier and Proficiency Bonus) or take 2d8 Radiant damage if it is a Fiend or an Undead."
"Hooded Lantern","PHB'24","226","none","adventuring gear","","","","","2 lb.","5 gp","A Hooded Lantern burns Oil as fuel to cast Bright Light in a 30-foot radius and Dim Light for an additional 30 feet. As a Bonus Action, you can lower the hood, reducing the light to Dim Light in a 5-foot radius, or raise it again."
"Horror Trinket","VRGR","36","none","adventuring gear","","","","","","","Before you finish making a character, roll once on the Horror Trinkets table for a unique object your character has with them at the start of their adventuring career. These trinkets hint toward various horrific tales and might lead to dreadful revelations or be nothing more than grim keepsakes. At the DM's discretion any of these trinkets might also be a Mist talisman (detailed in chapter 3), a focal item that can lead the bearer through the Mists to a particular Domain of Dread.Horror Trinketsd100Trinket01A picture you drew as a child of your imaginary friend02A lock that opens when blood is dripped in its keyhole03Clothes stolen from a scarecrow04A spinning top carved with four faces: happy, sad, wrathful, and dead05The necklace of a sibling who died on the day you were born06A wig from someone executed by beheading07The unopened letter to you from your dying father08A pocket watch that runs backward for an hour every midnight09A winter coat stolen from a dying soldier10A bottle of invisible ink that can only be read at sunset11A wineskin that refills when interred with a dead person for a night12A set of silverware used by a king for his last meal13A spyglass that always shows the world suffering a terrible storm14A cameo with the profile's face scratched away15A lantern with a black candle that never runs out and that burns with green flame16A teacup from a child's tea set, stained with blood17A little black book that records your dreams, and yours alone, when you sleep18A necklace formed of the interlinked holy symbols of a dozen deities19A noose that feels heavier than it should20A birdcage into which small birds fly but once inside never eat or leave21A lepidopterist's box filled with dead moths with skull-like patterns on their wings22A jar of pickled ghouls' tongues23The wooden hand of a notorious pirate24A urn with the ashes of a dead relative25A hand mirror backed with a bronze depiction of a medusa26Pallid leather gloves crafted with ivory fingernails27Dice made from the knuckles of a notorious charlatan28A ring of keys for forgotten locks29Nails from the coffin of a murderer30A key to the family crypt31A bouquet of funerary flowers that always looks and smells fresh32A switch used to discipline you as a child33A music box that plays by itself whenever someone holding it dances34A walking cane with an iron ferrule that strikes sparks on stone35A flag from a ship lost at sea36A porcelain doll's head that always seems to be looking at you37A wolf's head wrought in silver that is also a whistle38A small mirror that shows a much older version of the viewer39A small, worn book of children's nursery rhymes40A mummified raven claw41A broken pendant of a silver dragon that's always cold to the touch42A small locked box that quietly hums a lovely melody at night, but you always forget it in the morning43An inkwell that makes one a little nauseous when staring at it44An old doll made from a dark, dense wood and missing a hand and a foot45A black executioner's hood46A pouch made of flesh, with a sinew drawstring47A tiny spool of black thread that never runs out48A tiny clockwork figurine of a dancer that's missing a gear and doesn't work49A black wooden pipe that creates puffs of smoke that look like skulls50A vial of perfume, the scent of which only certain creatures can detect51A stone that emits a single endless sigh52A rag doll with two red dots on its neck53A spring-loaded toy with a missing crank54A mason jar containing a harmless but agitated, animate ooze55A black wooden die with 1's on all the faces56A child's portrait with ""born"" written on the back, along with next year's date57A dagger-sized shark tooth58A finger that's taken root in a small pot59A toolbox containing the remains of a dangerous but broken clockwork arachnid60A pitcher-sized, opalescent snail shell that occasionally, inexplicably shudders or tips over61The logbook of an ice-breaking ship called The Haifisch62A small portrait of you as a child, alongside your identically dressed twin63A silver pocket watch with thirteen hours marked on the face64A woodcut of a wolf devouring its own hind leg65A planchette etched with raven skulls66A moist coral figurine of a lamprey with arms, legs, and a bipedal stance67A bronze fingertrap sculpted with roaring tigers68A pearl necklace that turns red under the full moon69A fossil of a fish with humanoid features70A plague doctor's mask71A paper talisman with smudged ink72A locket containing the smeared image of an eyeless figure73A canopic jar with a lid sculpted like a goat74A jack-o'-lantern made from a small, pale gourd75A single high-heeled, iron shoe76A candle made from a severed hand77A clockwork device that beats like a heart78A blank masquerade mask79A glass eye with a live worm inside80A sheet with two eyeholes cut in it81The deed to someplace called Tergeron Manor82An ornate, wax-sealed crimson envelope that resists all attempts to open it83A mourning veil trimmed in black lace84A straitjacket covered in charcoal runes85A tattered, burlap mask with a crooked smile painted on it86A green ribbon designed to be worn as a choker87Dentures with mismatched, sharpened teeth88A warm, fist-sized egg case89A copper ring with ""mine"" engraved on the inside90A glass ampoule containing a neon green fluid91An eye patch embroidered with a holy symbol92A severed big toe with a nail that continues to grow93A journal that has been heavily redacted94A glove with a mouth-like design stitched on the palm95An ornate but empty reliquary made of silver and fractured glass96A ceramic figure of a cat with too many eyes97A crumpled paper ticket bearing the words ""admit none""98An electrum coin with your face on one side99A shrunken gremishka head that twitches when anyone casts magic nearby100A sunburst amulet with a red stone at the center"
"Hourglass","PHB'14","150","none","adventuring gear","","","","","1 lb.","25 gp",""
"Hunting Trap","PHB'24","226","none","adventuring gear","","","","","25 lb.","5 gp","As a Utilize action, you can set a Hunting Trap, which is a sawtooth steel ring that snaps shut when a creature steps on a pressure plate in the center. The trap is affixed by a heavy chain to an immobile object, such as a tree or a spike driven into the ground. A creature that steps on the plate must succeed on a DC 13 Dexterity saving throw or take 1d4 Piercing damage and have its Speed reduced to 0 until the start of its next turn. Thereafter, until the creature breaks free of the trap, its movement is limited by the length of the chain (typically 3 feet). A creature can use its action to make a DC 13 Strength (Athletics) check, freeing itself or another creature within its reach on a success. Each failed check deals 1 Piercing damage to the trapped creature."
